year,revenue,opex,capex,depreciation,ebt,tax,net_cf,discount_factor,disc_cf
0,0.0,0.0,95200000.0,0.0,-95200000.0,0.0,-95200000.0,1.0,-95200000.0
1,11364493.013528287,1329600.0,0.0,16519240.0,-6484346.986471713,0.0,10034893.013528287,0.9216589861751152,9248749.321224228
2,11194025.618325364,1356192.0,0.0,28310440.0,-18472606.381674636,0.0,9837833.618325364,0.8494552867973413,8356799.777719097
3,11026115.234050483,1383315.84,0.0,20218440.0,-10575640.605949517,0.0,9642799.394050483,0.7829080984307294,7549425.737145053
4,10860723.505539725,1410982.1568000002,0.0,14438440.0,-4988698.651260275,0.0,9449741.348739725,0.7215742842679533,6818690.350234151
5,10697812.65295663,1439201.799936,0.0,10323080.0,-1064469.146979371,0.0,9258610.853020629,0.6650454232884362,6157396.773810013
6,10537345.463162279,1467985.83593472,0.0,10311520.0,-1242160.3727724403,0.0,9069359.62722756,0.6129450905884205,5559019.45828996
7,10379285.281214844,1497345.5526534144,0.0,10323080.0,-1441140.2714385707,0.0,8881939.72856143,0.5649263507727378,5017641.7986396095
8,10223596.001996621,1527292.4637064827,0.0,5155760.0,3540543.5382901393,885135.8845725348,7811167.6537176045,0.520669447716809,4067036.348284548
9,10070242.061966673,1557838.3129806125,0.0,0.0,8512403.74898606,2128100.937246515,6384302.811739545,0.4798796753150314,3063697.160410415
10,9919188.431037173,1588995.0792402248,47600000.0,0.0,8330193.351796947,2082548.3379492369,-41352354.98615229,0.4422854150368954,-18289543.487803396
11,9770400.604571614,1620774.9808250293,0.0,0.0,8149625.623746585,2037406.4059366463,6112219.217809939,0.407636327222945,2491562.5931295455
12,9623844.59550304,1653190.48044153,0.0,0.0,7970654.115061509,1992663.5287653774,5977990.586296132,0.37570168407644705,2245941.130664604
13,9479486.926570496,1686254.2900503604,0.0,0.0,7793232.636520135,1948308.1591300338,5844924.477390101,0.3462688332501816,2023915.1792212978
14,9337294.622671938,1719979.3758513678,0.0,0.0,7617315.24682057,1904328.8117051425,5712986.435115428,0.31914178179740244,1823252.6702871278
15,9197235.203331858,1754378.963368395,0.0,0.0,7442856.239963463,1860714.0599908656,5582142.1799725965,0.29413989105751376,1641930.6926846919
16,9059276.67528188,1789466.542635763,0.0,0.0,7269810.132646117,1817452.5331615293,5452357.599484588,0.27109667378572694,1478116.0095106026
17,8923387.525152652,1825255.8734884784,0.0,0.0,7098131.651664173,1774532.9129160433,5323598.738748129,0.24985868551679907,1330147.3830824972
18,8789536.712275362,1861760.990958248,0.0,0.0,6927775.721317113,1731943.9303292783,5195831.790987835,0.23028450278045995,1196519.5405185404
19,8657693.661591232,1898996.210777413,0.0,0.0,6758697.450813819,1689674.3627034547,5069023.088110364,0.21224378136447924,1075868.6280443936
20,8527828.256667363,1936976.1349929613,0.0,0.0,6590852.121674402,1647713.0304186004,4943139.091255801,0.19561638835435877,966959.0161647068
